Car_Name,Year,Present_Price,Selling_Price,Driven_kms,Fuel_Type,Transmission,Owner
Baleno,2011,7.46,5.08,11914,Diesel,Manual,0
Innova,2020,10.89,9.38,146866,Petrol,Automatic,0
Verna,2010,18.92,14.72,128303,Petrol,Manual,2
Verna,2017,10.79,9.02,22221,Petrol,Automatic,1
Creta,2021,20.76,11.98,86464,Diesel,Manual,1
Innova,2021,19.77,12.43,81872,Petrol,Automatic,0
City,2019,9.73,6.62,128143,Petrol,Automatic,0
Fortuner,2012,22.98,18.26,31146,Diesel,Manual,1
i20,2021,14.37,9.6,62967,Diesel,Automatic,0
Fortuner,2010,8.56,5.93,127690,Petrol,Automatic,1
City,2012,4.11,2.27,147525,Petrol,Automatic,0
Creta,2017,3.89,3.3,119895,Petrol,Automatic,0
City,2014,7.77,4.54,29576,Diesel,Automatic,2
i20,2017,5.73,4.89,51403,Petrol,Automatic,1
Swift,2019,21.35,18.36,139548,Diesel,Manual,1
i20,2010,5.63,3.7,108135,Diesel,Manual,2
Creta,2012,24.55,19.13,76697,Diesel,Automatic,2
i20,2017,21.55,16.58,91814,Diesel,Manual,2
Baleno,2014,4.3,2.77,137388,Petrol,Manual,2
Fortuner,2010,9.41,7.19,81798,Petrol,Manual,1
Baleno,2019,5.22,2.78,40457,Diesel,Manual,1
Innova,2015,22.33,13.89,16280,Diesel,Automatic,0
Creta,2022,17.33,12.83,71935,Petrol,Manual,0
Baleno,2018,22.99,18.15,21594,Diesel,Manual,0
Innova,2015,5.41,2.78,27534,Diesel,Automatic,1
Verna,2015,10.12,7.12,112007,Diesel,Manual,0
Fortuner,2017,17.48,12.63,101616,Diesel,Automatic,0
Swift,2014,4.33,3.21,79086,Diesel,Manual,1
Swift,2015,21.1,10.66,13445,Diesel,Manual,2
Verna,2020,19.89,11.9,88378,Petrol,Automatic,1
City,2022,22.02,16.27,24304,Petrol,Manual,2
Baleno,2015,5.83,3.56,64257,Petrol,Automatic,0
Baleno,2012,17.35,11.25,142834,Diesel,Manual,2
Baleno,2017,19.72,17.01,140859,Diesel,Manual,0
i20,2019,18.31,14.38,131209,Diesel,Automatic,0
Swift,2022,9.93,5.4,13512,Diesel,Manual,0
Swift,2016,12.48,8.58,30580,Petrol,Automatic,0
City,2018,12.24,6.59,135444,Petrol,Manual,0
Swift,2017,9.15,6.48,44611,Diesel,Manual,0
i20,2022,18.15,10.64,5093,Diesel,Automatic,2
i20,2020,24.86,13.15,43046,Diesel,Automatic,2
Fortuner,2016,19.25,17.04,120219,Diesel,Manual,0
i20,2019,17.78,13.7,108819,Diesel,Automatic,1
Verna,2013,15.28,11.12,54635,Diesel,Automatic,0
Baleno,2012,20.32,14.46,58592,Petrol,Manual,2
Innova,2020,20.38,17.63,93235,Petrol,Manual,0
i20,2016,13.92,12.32,123588,Petrol,Automatic,2
Fortuner,2016,14.36,8.74,69442,Petrol,Automatic,0
Innova,2012,11.45,9.69,6703,Diesel,Automatic,1
Creta,2011,19.51,16.84,102049,Diesel,Automatic,1
Creta,2011,17.07,15.0,94333,Petrol,Automatic,1
Verna,2017,11.5,5.75,122990,Petrol,Automatic,1
i20,2015,19.04,9.98,66918,Diesel,Automatic,0
i20,2011,24.63,19.51,25184,Petrol,Manual,0
Swift,2015,9.22,8.13,14376,Petrol,Manual,2
i20,2018,8.07,5.2,7017,Diesel,Manual,1
i20,2020,18.93,11.35,121920,Diesel,Manual,2
